Algorithm,MPI_Processes,Data_Size,Allocation,Latency
1,168,5000,core,0.000805262000000
1,168,5000,node,0.000556124000000
1,169,5000,core,0.001283387999999
1,169,5000,node,0.000802453000000
1,170,5000,core,0.000813868000000
1,170,5000,node,0.000725335000000
1,171,5000,core,0.001062223000000
1,171,5000,node,0.000742775000000
1,172,5000,core,0.000824087000000
1,172,5000,node,0.000721786000000
1,173,5000,core,0.000826392000000
1,173,5000,node,0.000951357000000
1,174,5000,core,0.001404326999999
1,174,5000,node,0.000763363000000
1,175,5000,core,0.000826271999999
1,175,5000,node,0.000743248000000
1,176,5000,core,0.000825651000003
1,176,5000,node,0.000931410000000
1,177,5000,core,0.001127342000000
1,177,5000,node,0.000783983000000
1,178,5000,core,0.000833215000000
1,178,5000,node,0.000664015000000
1,179,5000,core,0.000896519000000
1,179,5000,node,0.000880745000001
1,180,5000,core,0.000981667000000
1,180,5000,node,0.000833134000001
1,181,5000,core,0.000836311000000
1,181,5000,node,0.001033044000000
1,182,5000,core,0.000837684000000
1,182,5000,node,0.000604886000000
1,183,5000,core,0.000842843000000
1,183,5000,node,0.001030945000000
1,184,5000,core,0.000848102000000
1,184,5000,node,0.000718398999998
1,185,5000,core,0.000847722000000
1,185,5000,node,0.000718108000000
1,186,5000,core,0.000848203000000
1,186,5000,node,0.000917803000000
1,187,5000,core,0.000845458000001
1,187,5000,node,0.000912072000000
1,188,5000,core,0.001163882000000
1,188,5000,node,0.000642576000000
1,189,5000,core,0.000890953000001
1,189,5000,node,0.000852361000001
1,190,5000,core,0.000909870999999
1,190,5000,node,0.000976367000000
1,191,5000,core,0.000894065000000
1,191,5000,node,0.000766448999999
1,192,5000,core,0.000817064000000
1,192,5000,node,0.000758235999999
1,193,5000,core,0.000820741000000
1,193,5000,node,0.000669378000000
1,194,5000,core,0.000821693000000
1,194,5000,node,0.000880176000000
1,195,5000,core,0.000820700999999
1,195,5000,node,0.000903027000000
1,196,5000,core,0.000861862999999
1,196,5000,node,0.000853764999999
1,197,5000,core,0.000970301000000
1,197,5000,node,0.000739157000000
1,198,5000,core,0.000826853000000
1,198,5000,node,0.001116587000000
1,199,5000,core,0.000827544000001
1,199,5000,node,0.001049098000000
1,200,5000,core,0.000969590999999
1,200,5000,node,0.000668305000000
1,201,5000,core,0.000963909999999
1,201,5000,node,0.001151312000000
1,202,5000,core,0.000837643000000
1,202,5000,node,0.000800081000000
1,203,5000,core,0.001536492000000
1,203,5000,node,0.000853193000000
1,204,5000,core,0.000901778999999
1,204,5000,node,0.001308576000000
1,205,5000,core,0.000857331999999
1,205,5000,node,0.001115778999999
1,206,5000,core,0.001094094000001
1,206,5000,node,0.000814248000001
1,207,5000,core,0.000841521000000
1,207,5000,node,0.000995082000000
1,208,5000,core,0.000843205000001
1,208,5000,node,0.000726292000001
1,209,5000,core,0.000847050999999
1,209,5000,node,0.001364422000000
1,210,5000,core,0.000848532999999
1,210,5000,node,0.000706285000000
1,211,5000,core,0.000876223000001
1,211,5000,node,0.001234087000000
1,212,5000,core,0.000851590000000
1,212,5000,node,0.000867599000000
1,213,5000,core,0.001348433000000
1,213,5000,node,0.001096258999999
1,214,5000,core,0.000852872000000
1,214,5000,node,0.001046650999999
1,215,5000,core,0.001017724999997
1,215,5000,node,0.000970922999999
1,216,5000,core,0.000876595000001
1,216,5000,node,0.000729941000000
1,217,5000,core,0.000859782000000
1,217,5000,node,0.001103041999999
1,218,5000,core,0.000926466000003
1,218,5000,node,0.000790322000000
1,219,5000,core,0.000862577000003
1,219,5000,node,0.000740358000000
1,220,5000,core,0.000866444000000
1,220,5000,node,0.000743654000000
1,221,5000,core,0.001002127000000
1,221,5000,node,0.000952216000000
1,222,5000,core,0.001308036000001
1,222,5000,node,0.001286198000001
1,223,5000,core,0.001167692000000
1,223,5000,node,0.000757993000001
1,224,5000,core,0.000874304000000
1,224,5000,node,0.000792215999999
1,225,5000,core,0.000897864000000
1,225,5000,node,0.001185340999999
1,226,5000,core,0.000881324000000
1,226,5000,node,0.000780804000000
1,227,5000,core,0.000950117000000
1,227,5000,node,0.000957516000000
1,228,5000,core,0.000879041000000
1,228,5000,node,0.000773454000000
1,229,5000,core,0.001385683000000
1,229,5000,node,0.001019173000000
1,230,5000,core,0.000885452000000
1,230,5000,node,0.001107460000000
1,231,5000,core,0.001006750000000
1,231,5000,node,0.001483295000000
1,232,5000,core,0.000892495000000
1,232,5000,node,0.000870274000000
1,233,5000,core,0.000896903999999
1,233,5000,node,0.000926430000000
1,234,5000,core,0.000920207000000
1,234,5000,node,0.000796977000000
1,235,5000,core,0.001013233000000
1,235,5000,node,0.000884072000000
1,236,5000,core,0.000921791000000
1,236,5000,node,0.000805953000000
1,237,5000,core,0.000967578999999
1,237,5000,node,0.001199216000000
1,238,5000,core,0.001021910999999
1,238,5000,node,0.001113885000000
1,239,5000,core,0.001047223000000
1,239,5000,node,0.000839936000000
1,240,5000,core,0.000967498000001
1,240,5000,node,0.001173834999999
1,241,5000,core,0.000944113000001
1,241,5000,node,0.001296803000000
1,242,5000,core,0.000946186000000
1,242,5000,node,0.000829226999997
1,243,5000,core,0.001001929000001
1,243,5000,node,0.001166148999999
1,244,5000,core,0.000945865999999
1,244,5000,node,0.000851670000000
1,245,5000,core,0.000949072000001
1,245,5000,node,0.001347059000000
1,246,5000,core,0.000947259000000
1,246,5000,node,0.000843833999999
1,247,5000,core,0.000953921999999
1,247,5000,node,0.001205567000000
1,248,5000,core,0.000954002000000
1,248,5000,node,0.001110596000000
1,249,5000,core,0.000955864000002
1,249,5000,node,0.001422415000000
1,250,5000,core,0.000958791000000
1,250,5000,node,0.001084937999988
1,251,5000,core,0.000970590000001
1,251,5000,node,0.001198621000000
1,252,5000,core,0.001012116000000
1,252,5000,node,0.000870685000000
1,253,5000,core,0.001084207000000
1,253,5000,node,0.000871978000000
1,254,5000,core,0.001323786000000
1,254,5000,node,0.000875834999999
1,255,5000,core,0.001057455000000
1,255,5000,node,0.001343898999999
1,256,5000,core,0.000906398000000
1,256,5000,node,0.000871366000000
